,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
0,Abilene Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/abilene-christian-university-3537\%22,"#19, Regional Universities (West)",45.50%,3.6,1200 / 27
5,Adelphi University,http://premium.usnews.com/best-colleges/\%22/best-colleges/adelphi-university-2666\%22,"#152, National Universities",66.46%,3.5,1220 / 28
6,Adrian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/adrian-college-2234\%22,"#19, Regional Colleges (Midwest)",62.73%,3.1,1050 / 26
8,Agnes Scott College,http://premium.usnews.com/best-colleges/\%22/best-colleges/agnes-scott-college-1542\%22,"#89, National Liberal Arts Colleges",61.97%,3.6,1290 / 29
10,Alabama Agricultural and Mechanical University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alabama-agricultural-and-mechanical-university-1002\%22,"RNP, Regional Universities (South)",54.38%,2.8,915 / 19
12,Alaska Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alaska-pacific-university-1061\%22,"#80, Regional Universities (West)",62.22%,3.3,1080 / 23
14,Albany State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/albany-state-university-1544\%22,"#84, Regional Universities (South)",19.53%,2.9,950 / 20
15,Albertus Magnus College,http://premium.usnews.com/best-colleges/\%22/best-colleges/albertus-magnus-college-1374\%22,"#131, Regional Universities (North)",80.80%,2.7,920
16,Albion College,http://premium.usnews.com/best-colleges/\%22/best-colleges/albion-college-2235\%22,"#100, National Liberal Arts Colleges",70.21%,3.4,1270 / 27
17,Albright College,http://premium.usnews.com/best-colleges/\%22/best-colleges/albright-college-3229\%22,"#176, National Liberal Arts Colleges",46.73%,3.3,1155 / 25
18,Alcorn State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alcorn-state-university-2396\%22,"#77, Regional Universities (South)",47.12%,2.9,970 / 20
19,Alderson Broaddus University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alderson-broaddus-university-3806\%22,"#46, Regional Colleges (South)",40.63%,3.0,1030 / 24
